"time","signal","delayedSignals[5]","delayedSignals[4]","delayedSignals[3]","delayedSignals[2]","delayedSignals[1]"
0,0,0,0,0,0,0
0.002,0.012566039883352607,0,0,0,0,0.012566039883352607
0.004,0.02513009544333748,0,0,0,0,0.02513009544333748
0.006,0.03769018266993454,0,0,0,0,0.03769018266993454
0.008,0.050244318179769556,0,0,0,0,0.050244318179769556
0.01,0.06279051952931337,0,0,0,0,0.06279051952931337
0.012,0.07532680552793272,0,0,0,0,0.07532680552793272
0.014,0.08785119655074317,0,0,0,0,0.08785119655074317
0.016,0.1003617148512149,0,0,0,0,0.1003617148512149
0.018,0.11285638487348167,0,0,0,0,0.11285638487348167
0.02,0.12533323356430426,0,0,0,0,0.12533323356430426
0.022,0.13779029068463805,0,0,0,0,0.13779029068463805
0.024,0.15022558912075706,0,0,0,0,0.15022558912075706
0.026,0.16263716519488358,0,0,0,0,0.16263716519488358
0.028,0.17502305897527604,0,0,0,0,0.17502305897527604
0.03,0.1873813145857246,0,0,0,0,0.1873813145857246
0.032,0.19970998051440703,0,0,0,0,0.19970998051440703
0.034,0.21200710992205463,0,0,0,0,0.21200710992205463
0.036,0.22427076094938114,0,0,0,0,0.22427076094938114
0.038,0.23649899702372468,0,0,0,0,0.23649899702372468
0.04,0.2486898871648548,0,0,0,0,0.2486898871648548
0.042,0.26084150628989694,0,0,0,0,0.26084150628989694
0.044,0.27295193551732516,0,0,0,0,0.27295193551732516
0.046,0.2850192624699761,0,0,0,0,0.2850192624699761
0.048,0.2970415815770349,0,0,0,0,0.2970415815770349
0.05,0.3090169943749474,0,0,0,0,0.3090169943749474
0.052,0.3209436098072095,0,0,0,0,0.3209436098072095
0.054,0.3328195445229866,0,0,0,0,0.3328195445229866
0.056,0.34464292317451706,0,0,0,0,0.34464292317451706
0.058,0.35641187871325075,0,0,0,0,0.35641187871325075
0.06,0.3681245526846779,0,0,0,0,0.3681245526846779
0.062,0.37977909552180106,0,0,0,0,0.37977909552180106
0.064,0.3913736668372024,0,0,0,0,0.3913736668372024
0.066,0.40290643571366264,0,0,0,0,0.40290643571366264
0.068,0.41437558099328414,0,0,0,0,0.41437558099328414
0.07,0.4257792915650727,0,0,0,0,0.4257792915650727
0.072,0.4371157666509328,0,0,0,0,0.4371157666509328
0.074,0.44838321609003223,0,0,0,0,0.44838321609003223
0.076,0.4595798606214878,0,0,0,0,0.4595798606214878
0.078,0.4707039321653325,0,0,0,0,0.4707039321653325
0.08,0.4817536741017153,0,0,0,0,0.4817536741017153
0.082,0.49272734154829156,0,0,0,0,0.49272734154829156
0.084,0.5036232016357608,0,0,0,0,0.5036232016357608
0.086,0.5144395337815063,0,0,0,0,0.5144395337815063
0.088,0.5251746299612956,0,0,0,0,0.5251746299612956
0.09,0.5358267949789967,0,0,0,0,0.5358267949789967
0.092,0.5463943467342691,0,0,0,0,0.5463943467342691
0.094,0.556875616488188,0,0,0,0,0.556875616488188
0.096,0.5672689491267565,0,0,0,0,0.5672689491267565
0.098,0.5775727034222675,0,0,0,0,0.5775727034222675
0.1,0.5877852522924731,0,0,0,0,0.5877852522924731
0.102,0.5979049830575188,0,0,0,0.012566039883352531,0.5979049830575188
0.104,0.6079302976946054,0,0,0,0.025130095443337414,0.6079302976946054
0.106,0.6178596130903343,0,0,0,0.037690182669934486,0.6178596130903343
0.108,0.6276913612907005,0,0,0,0.050244318179769515,0.6276913612907005
0.11,0.6374239897486896,0,0,0,0.06279051952931335,0.6374239897486896
0.112,0.6470559615694442,0,0,0,0.0753268055279327,0.6470559615694442
0.114,0.6565857557529565,0,0,0,0.08785119655074315,0.6565857557529565
0.116,0.6660118674342517,0,0,0,0.1003617148512149,0.6660118674342517
0.118,0.6753328081210244,0,0,0,0.1128563848734816,0.6753328081210244
0.12,0.6845471059286886,0,0,0,0.1253332335643042,0.6845471059286886
0.122,0.6936533058128049,0,0,0,0.137790290684638,0.6936533058128049
0.124,0.7026499697988492,0,0,0,0.150225589120757,0.7026499697988492
0.126,0.7115356772092853,0,0,0,0.16263716519488355,0.7115356772092853
0.128,0.7203090248879069,0,0,0,0.175023058975276,0.7203090248879069
0.13,0.7289686274214116,0,0,0,0.1873813145857246,0.7289686274214116
0.132,0.7375131173581739,0,0,0,0.19970998051440703,0.7375131173581739
0.134,0.7459411454241821,0,0,0,0.21200710992205463,0.7459411454241821
0.136,0.7542513807361038,0,0,0,0.22427076094938114,0.7542513807361038
0.138,0.7624425110114479,0,0,0,0.23649899702372468,0.7624425110114479
0.14,0.7705132427757893,0,0,0,0.2486898871648548,0.7705132427757893
0.142,0.7784623015670233,0,0,0,0.26084150628989683,0.7784623015670233
0.144,0.7862884321366188,0,0,0,0.27295193551732505,0.7862884321366188
0.146,0.7939903986478353,0,0,0,0.285019262469976,0.7939903986478353
0.148,0.8015669848708765,0,0,0,0.29704158157703486,0.8015669848708765
0.15,0.8090169943749475,0,0,0,0.30901699437494734,0.8090169943749475
0.152,0.8163392507171839,0,0,0,0.32094360980720943,0.8163392507171839
0.154,0.8235325976284275,0,0,0,0.33281954452298657,0.8235325976284275
0.156,0.8305958991958126,0,0,0,0.344642923174517,0.8305958991958126
0.158,0.8375280400421417,0,0,0,0.3564118787132507,0.8375280400421417
0.16,0.8443279255020151,0,0,0,0.3681245526846779,0.8443279255020151
0.162,0.8509944817946918,0,0,0,0.37977909552180106,0.8509944817946918
0.164,0.8575266561936523,0,0,0,0.3913736668372024,0.8575266561936523
0.166,0.8639234171928353,0,0,0,0.40290643571366264,0.8639234171928353
0.168,0.8701837546695257,0,0,0,0.41437558099328414,0.8701837546695257
0.17,0.8763066800438637,0,0,0,0.4257792915650727,0.8763066800438637
0.172,0.8822912264349532,0,0,0,0.43711576665093277,0.8822912264349532
0.174,0.8881364488135445,0,0,0,0.4483832160900322,0.8881364488135445
0.176,0.8938414241512637,0,0,0,0.45957986062148776,0.8938414241512637
0.178,0.899405251566371,0,0,0,0.47070393216533246,0.899405251566371
0.18,0.9048270524660196,0,0,0,0.48175367410171527,0.9048270524660196
0.182,0.9101059706849957,0,0,0,0.4927273415482915,0.9101059706849957
