"time","delayedSignals[1,1]","delayedSignals[1,2]","delayedSignals[2,1]","delayedSignals[2,2]","delayedSignals[3,1]","delayedSignals[3,2]","delayedSignals[4,1]","delayedSignals[4,2]","delayedSignals[5,1]","delayedSignals[5,2]","signal[1]","signal[2]"
0,0,1,0,1,0,1,0,1,0,1,0,1
0.002,0.012566039883352607,0.9999210442038161,0,1,0,1,0,1,0,1,0.012566039883352607,0.9999210442038161
0.004,0.02513009544333748,0.9996841892832999,0,1,0,1,0,1,0,1,0.02513009544333748,0.9996841892832999
0.006,0.03769018266993454,0.9992894726405892,0,1,0,1,0,1,0,1,0.03769018266993454,0.9992894726405892
0.008,0.050244318179769556,0.9987369566060175,0,1,0,1,0,1,0,1,0.050244318179769556,0.9987369566060175
0.01,0.06279051952931337,0.9980267284282716,0,1,0,1,0,1,0,1,0.06279051952931337,0.9980267284282716
0.012,0.07532680552793272,0.9971589002606139,0,1,0,1,0,1,0,1,0.07532680552793272,0.9971589002606139
0.014,0.08785119655074317,0.9961336091431725,0,1,0,1,0,1,0,1,0.08785119655074317,0.9961336091431725
0.016,0.1003617148512149,0.9949510169813002,0,1,0,1,0,1,0,1,0.1003617148512149,0.9949510169813002
0.018,0.11285638487348167,0.9936113105200084,0,1,0,1,0,1,0,1,0.11285638487348167,0.9936113105200084
0.02,0.12533323356430426,0.9921147013144779,0,1,0,1,0,1,0,1,0.12533323356430426,0.9921147013144779
0.022,0.13779029068463805,0.9904614256966512,0,1,0,1,0,1,0,1,0.13779029068463805,0.9904614256966512
0.024,0.15022558912075706,0.9886517447379141,0,1,0,1,0,1,0,1,0.15022558912075706,0.9886517447379141
0.026,0.16263716519488358,0.986685944207868,0,1,0,1,0,1,0,1,0.16263716519488358,0.986685944207868
0.028,0.17502305897527604,0.9845643345292053,0,1,0,1,0,1,0,1,0.17502305897527604,0.9845643345292053
0.03,0.1873813145857246,0.9822872507286887,0,1,0,1,0,1,0,1,0.1873813145857246,0.9822872507286887
0.032,0.19970998051440703,0.9798550523842469,0,1,0,1,0,1,0,1,0.19970998051440703,0.9798550523842469
0.034,0.21200710992205463,0.9772681235681935,0,1,0,1,0,1,0,1,0.21200710992205463,0.9772681235681935
0.036,0.22427076094938114,0.9745268727865771,0,1,0,1,0,1,0,1,0.22427076094938114,0.9745268727865771
0.038,0.23649899702372468,0.971631732914674,0,1,0,1,0,1,0,1,0.23649899702372468,0.971631732914674
0.04,0.2486898871648548,0.9685831611286311,0,1,0,1,0,1,0,1,0.2486898871648548,0.9685831611286311
0.042,0.26084150628989694,0.9653816388332739,0,1,0,1,0,1,0,1,0.26084150628989694,0.9653816388332739
0.044,0.27295193551732516,0.9620276715860859,0,1,0,1,0,1,0,1,0.27295193551732516,0.9620276715860859
